"x","predicted","std.error","conf.low","conf.high","group"
"NonBSF",0.289184768617432,0.0312852499980404,0.276745137366224,0.301950116552148,"1950"
"NonBSF",0.272791996020486,0.0824256271328661,0.241943402570393,0.3059862294723,"1960"
"NonBSF",0.254137580406255,0.0789804096266149,0.225925269396774,0.284577709268734,"1970"
"NonBSF",0.263396175099849,0.0780645736947299,0.234801521441102,0.294134580540509,"1980"
"NonBSF",0.31576583992279,0.0776851738006907,0.283826480677896,0.349545154539351,"1990"
"NonBSF",0.274894222783912,0.0774853559166411,0.245677615576002,0.306175058582989,"2000"
"NonBSF",0.252543407929274,0.0773903200645454,0.224997785590215,0.282233240411754,"2010"
"NonBSF",0.254519017438887,0.077425277120249,0.226811285517685,0.284366694054571,"2020"
"BSF",0.305564325323888,0.0313084074323836,0.292700856364187,0.318738356094975,"1950"
"BSF",0.288620065225086,0.0824441519603942,0.256606247942891,0.322893086661306,"1960"
"BSF",0.269284076180134,0.0789970064813872,0.239925282125561,0.300813590254526,"1970"
"BSF",0.278888150606655,0.078082818984588,0.249173911059863,0.310679619927317,"1980"
"BSF",0.332945754640449,0.0777086665806752,0.300020975292783,0.367586310024393,"1990"
"BSF",0.290795492551325,0.0774954458633452,0.260492189229573,0.323083876530803,"2000"
"BSF",0.267628983717117,0.0773858024377908,0.238965592753248,0.298382488019574,"2010"
"BSF",0.269680026999575,0.0774235177017777,0.240855697518381,0.300588030629286,"2020"
