"fac_pub","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high"
"NonBSF",0.137570076350461,0.000431506301581739,318.813597498302,0,Inf,0.136724339540259,0.138415813160664
"BSF",0.14054438943059,0.00043117767810148,325.954697027504,0,Inf,0.139699296710574,0.141389482150607
