"num_fac","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high"
0,0.137593643237685,0.000431554851796602,318.832340002365,0,Inf,0.13674781127081,0.138439475204559
1,0.139960226247723,0.000430074656496799,325.432396755898,0,Inf,0.139117295410325,0.14080315708512
2,0.142326809257755,0.000438353752475268,324.684820088964,0,Inf,0.141467651690415,0.143185966825094
3,0.144693392267803,0.000455787893734329,317.457734742166,0,Inf,0.143800064411495,0.145586720124112
4,0.147059975277828,0.000481476533613164,305.435395104804,0,Inf,0.146116298612545,0.148003651943111
5,0.149426558287879,0.000514086812282118,290.664056571592,0,Inf,0.148418966650879,0.150434149924879
6,0.151793141297902,0.000552483724176859,274.74681091114,0,Inf,0.150710293096471,0.152875989499333
7,0.154159724307946,0.000595468211359255,258.888251911971,0,Inf,0.152992628059743,0.155326820556149
8,0.156526307317977,0.000642168506673795,243.746471045003,0,Inf,0.155267680172891,0.157784934463064
