"fac_pub","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high"
"NonBSF",0.364097497296506,0.00582819310811083,62.4717627818145,0,Inf,0.352674448709664,0.375520545883348
"BSF",0.379279701604579,0.00591244003706987,64.1494373264791,0,Inf,0.367691532071169,0.390867871137988
